country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
MX,Mexico,,,,,,15/02/2020,6,4,6,4,3,-1
MX,Mexico,,,,,,16/02/2020,7,6,7,6,2,-1
MX,Mexico,,,,,,17/02/2020,2,4,3,5,11,-2
MX,Mexico,,,,,,18/02/2020,0,-1,3,2,9,-2
MX,Mexico,,,,,,19/02/2020,0,0,2,3,8,-1
MX,Mexico,,,,,,20/02/2020,0,-1,2,3,7,-1
MX,Mexico,,,,,,21/02/2020,-2,-2,-1,4,11,-1
MX,Mexico,,,,,,22/02/2020,0,0,7,4,4,0
MX,Mexico,,,,,,23/02/2020,2,1,8,7,2,-1
MX,Mexico,,,,,,24/02/2020,-2,0,6,4,8,-1
MX,Mexico,,,,,,25/02/2020,-2,-2,7,2,6,-1
MX,Mexico,,,,,,26/02/2020,-3,-1,3,1,6,-1
MX,Mexico,,,,,,27/02/2020,1,1,0,2,7,-1
MX,Mexico,,,,,,28/02/2020,3,6,3,6,12,-2
MX,Mexico,,,,,,29/02/2020,6,8,5,5,6,-1
MX,Mexico,,,,,,01/03/2020,6,9,7,7,3,-1
MX,Mexico,,,,,,02/03/2020,1,6,2,4,10,-2
MX,Mexico,,,,,,03/03/2020,1,3,2,2,9,-2
MX,Mexico,,,,,,04/03/2020,1,4,2,3,9,-1
MX,Mexico,,,,,,05/03/2020,2,3,3,3,8,-1
MX,Mexico,,,,,,06/03/2020,-1,0,0,3,12,-1
MX,Mexico,,,,,,07/03/2020,1,2,4,2,6,0
MX,Mexico,,,,,,08/03/2020,3,3,10,4,3,0
MX,Mexico,,,,,,09/03/2020,-11,-6,-8,-17,-16,7
MX,Mexico,,,,,,10/03/2020,-2,0,2,3,9,-2
MX,Mexico,,,,,,11/03/2020,-1,2,2,2,8,-1
MX,Mexico,,,,,,12/03/2020,1,4,3,3,8,-2
MX,Mexico,,,,,,13/03/2020,2,6,3,5,5,-1
MX,Mexico,,,,,,14/03/2020,2,10,6,4,3,-1
MX,Mexico,,,,,,15/03/2020,0,7,6,-4,1,-1
MX,Mexico,,,,,,16/03/2020,-11,5,-7,-30,-54,13
MX,Mexico,,,,,,17/03/2020,-7,5,-8,-9,-3,2
MX,Mexico,,,,,,18/03/2020,-13,3,-14,-17,-10,6
MX,Mexico,,,,,,19/03/2020,-17,1,-16,-22,-14,7
MX,Mexico,,,,,,20/03/2020,-23,-3,-22,-26,-14,9
MX,Mexico,,,,,,21/03/2020,-31,-7,-32,-29,-7,9
MX,Mexico,,,,,,22/03/2020,-37,-13,-37,-33,-10,8
MX,Mexico,,,,,,23/03/2020,-31,-14,-30,-37,-29,12
MX,Mexico,,,,,,24/03/2020,-35,-16,-33,-41,-34,14
MX,Mexico,,,,,,25/03/2020,-37,-16,-36,-44,-36,16
MX,Mexico,,,,,,26/03/2020,-37,-17,-36,-46,-37,16
MX,Mexico,,,,,,27/03/2020,-39,-17,-37,-47,-34,17
MX,Mexico,,,,,,28/03/2020,-40,-14,-39,-43,-18,12
MX,Mexico,,,,,,29/03/2020,-45,-19,-46,-47,-20,11
MX,Mexico,,,,,,30/03/2020,-35,-15,-36,-47,-38,15
MX,Mexico,,,,,,31/03/2020,-35,-15,-37,-48,-41,16
MX,Mexico,,,,,,01/04/2020,-37,-13,-39,-50,-44,18
MX,Mexico,,,,,,02/04/2020,-47,-12,-41,-52,-46,19
MX,Mexico,,,,,,03/04/2020,-56,-11,-43,-52,-43,21
MX,Mexico,,,,,,04/04/2020,-57,-11,-46,-48,-27,16
MX,Mexico,,,,,,05/04/2020,-62,-19,-52,-51,-27,13
MX,Mexico,,,,,,06/04/2020,-54,-15,-41,-54,-49,19
MX,Mexico,,,,,,07/04/2020,-53,-18,-42,-56,-52,20
MX,Mexico,,,,,,08/04/2020,-52,-13,-42,-55,-53,20
MX,Mexico,,,,,,09/04/2020,-58,-16,-46,-62,-64,23
MX,Mexico,,,,,,10/04/2020,-71,-30,-57,-72,-72,30
MX,Mexico,,,,,,11/04/2020,-66,-26,-54,-63,-49,20
MX,Mexico,,,,,,12/04/2020,-65,-29,-58,-57,-31,13
MX,Mexico,,,,,,13/04/2020,-54,-20,-45,-56,-49,20
MX,Mexico,,,,,,14/04/2020,-54,-19,-44,-57,-50,21
MX,Mexico,,,,,,15/04/2020,-51,-13,-44,-56,-50,21
MX,Mexico,,,,,,16/04/2020,-51,-15,-45,-57,-51,22
MX,Mexico,,,,,,17/04/2020,-55,-18,-47,-58,-47,24
MX,Mexico,,,,,,18/04/2020,-59,-23,-51,-55,-29,17
MX,Mexico,,,,,,19/04/2020,-62,-28,-56,-56,-26,13
MX,Mexico,,,,,,20/04/2020,-55,-25,-47,-57,-47,20
MX,Mexico,,,,,,21/04/2020,-58,-28,-50,-60,-50,21
MX,Mexico,,,,,,22/04/2020,-58,-27,-51,-60,-50,22
MX,Mexico,,,,,,23/04/2020,-59,-28,-52,-61,-51,23
MX,Mexico,,,,,,24/04/2020,-61,-28,-53,-62,-47,24
MX,Mexico,,,,,,25/04/2020,-62,-27,-55,-58,-31,18
MX,Mexico,,,,,,26/04/2020,-65,-31,-60,-59,-28,14
MX,Mexico,,,,,,27/04/2020,-58,-28,-51,-60,-48,22
MX,Mexico,,,,,,28/04/2020,-58,-28,-50,-61,-50,17
MX,Mexico,,,,,,29/04/2020,-55,-21,-49,-60,-50,22
MX,Mexico,,,,,,30/04/2020,-47,-10,-45,-57,-49,20
MX,Mexico,,,,,,01/05/2020,-61,-22,-54,-67,-63,28
MX,Mexico,,,,,,02/05/2020,-59,-21,-52,-57,-33,18
MX,Mexico,,,,,,03/05/2020,-63,-28,-58,-58,-25,13
MX,Mexico,,,,,,04/05/2020,-54,-22,-47,-59,-47,21
MX,Mexico,,,,,,05/05/2020,-56,-25,-50,-61,-51,22
MX,Mexico,,,,,,06/05/2020,-56,-23,-49,-61,-49,22
MX,Mexico,,,,,,07/05/2020,-56,-22,-50,-62,-50,23
MX,Mexico,,,,,,08/05/2020,-57,-22,-51,-61,-46,24
MX,Mexico,,,,,,09/05/2020,-56,-17,-51,-56,-28,17
MX,Mexico,,,,,,10/05/2020,-59,-24,-56,-57,-14,11
MX,Mexico,,,,,,11/05/2020,-57,-26,-50,-60,-47,21
MX,Mexico,,,,,,12/05/2020,-55,-25,-48,-60,-48,21
MX,Mexico,,,,,,13/05/2020,-55,-23,-48,-61,-48,22
MX,Mexico,,,,,,14/05/2020,-53,-20,-48,-60,-48,22
MX,Mexico,,,,,,15/05/2020,-53,-16,-46,-58,-44,23
MX,Mexico,,,,,,16/05/2020,-55,-16,-49,-53,-26,16
MX,Mexico,,,,,,17/05/2020,-60,-24,-55,-56,-20,13
MX,Mexico,,,,,,18/05/2020,-52,-19,-46,-57,-44,20
MX,Mexico,,,,,,19/05/2020,-53,-21,-45,-58,-46,21
MX,Mexico,,,,,,20/05/2020,-53,-19,-45,-58,-46,21
MX,Mexico,,,,,,21/05/2020,-54,-20,-46,-58,-47,22
MX,Mexico,,,,,,22/05/2020,-56,-20,-47,-58,-42,22
MX,Mexico,,,,,,23/05/2020,-56,-18,-49,-53,-22,16
MX,Mexico,,,,,,24/05/2020,-60,-24,-53,-55,-18,13
MX,Mexico,,,,,,25/05/2020,-53,-19,-44,-56,-43,20
MX,Mexico,,,,,,26/05/2020,-54,-22,-45,-58,-44,20
MX,Mexico,,,,,,27/05/2020,-54,-22,-46,-59,-44,21
MX,Mexico,,,,,,28/05/2020,-53,-19,-46,-58,-44,21
MX,Mexico,,,,,,29/05/2020,-52,-14,-45,-56,-40,22
MX,Mexico,,,,,,30/05/2020,-53,-12,-46,-50,-17,14
MX,Mexico,,,,,,31/05/2020,-57,-19,-52,-52,-11,12
MX,Mexico,,,,,,01/06/2020,-48,-13,-43,-52,-38,18
MX,Mexico,,,,,,02/06/2020,-50,-17,-43,-54,-41,19
MX,Mexico,,,,,,03/06/2020,-50,-17,-43,-54,-41,19
MX,Mexico,,,,,,04/06/2020,-50,-17,-44,-55,-41,20
MX,Mexico,,,,,,05/06/2020,-52,-16,-45,-55,-37,21
MX,Mexico,,,,,,06/06/2020,-52,-14,-46,-49,-16,14
MX,Mexico,,,,,,07/06/2020,-56,-21,-50,-51,-10,11
MX,Mexico,,,,,,08/06/2020,-50,-18,-43,-53,-37,18
MX,Mexico,,,,,,09/06/2020,-50,-20,-44,-55,-39,18
MX,Mexico,,,,,,10/06/2020,-48,-16,-42,-54,-39,18
MX,Mexico,,,,,,11/06/2020,-48,-16,-43,-54,-40,19
MX,Mexico,,,,,,12/06/2020,-48,-13,-42,-53,-35,19
MX,Mexico,,,,,,13/06/2020,-48,-10,-41,-47,-12,13
MX,Mexico,,,,,,14/06/2020,-52,-17,-46,-49,-6,11
MX,Mexico,,,,,,15/06/2020,-43,-9,-36,-49,-35,16
MX,Mexico,,,,,,16/06/2020,-42,-11,-36,-50,-37,17
MX,Mexico,,,,,,17/06/2020,-43,-11,-37,-51,-38,18
MX,Mexico,,,,,,18/06/2020,-44,-13,-38,-51,-39,18
MX,Mexico,,,,,,19/06/2020,-46,-11,-38,-50,-34,17
MX,Mexico,,,,,,20/06/2020,-45,-7,-39,-44,-11,12
MX,Mexico,,,,,,21/06/2020,-50,-14,-46,-47,4,8
MX,Mexico,,,,,,22/06/2020,-46,-17,-40,-51,-38,17
MX,Mexico,,,,,,23/06/2020,-46,-18,-39,-52,-39,17
MX,Mexico,,,,,,24/06/2020,-45,-15,-40,-51,-38,18
MX,Mexico,,,,,,25/06/2020,-45,-15,-40,-52,-39,18
MX,Mexico,,,,,,26/06/2020,-47,-13,-40,-51,-34,19
MX,Mexico,,,,,,27/06/2020,-47,-11,-39,-44,-12,12
MX,Mexico,,,,,,28/06/2020,-50,-17,-43,-46,-4,10
MX,Mexico,,,,,,29/06/2020,-42,-12,-37,-48,-35,16
MX,Mexico,,,,,,30/06/2020,-37,-7,-35,-48,-37,15
MX,Mexico,,,,,,01/07/2020,-38,-6,-36,-47,-37,16
MX,Mexico,,,,,,02/07/2020,-39,-7,-36,-47,-38,16
MX,Mexico,,,,,,03/07/2020,-42,-8,-37,-47,-34,17
MX,Mexico,,,,,,04/07/2020,-45,-10,-39,-43,-12,12
MX,Mexico,,,,,,05/07/2020,-49,-17,-44,-44,-6,9
MX,Mexico,,,,,,06/07/2020,-40,-11,-36,-46,-36,15
MX,Mexico,,,,,,07/07/2020,-40,-13,-36,-48,-38,16
MX,Mexico,,,,,,08/07/2020,-41,-13,-38,-48,-38,16
MX,Mexico,,,,,,09/07/2020,-41,-14,-38,-48,-38,17
MX,Mexico,,,,,,10/07/2020,-42,-11,-37,-47,-34,17
MX,Mexico,,,,,,11/07/2020,-44,-11,-39,-41,-11,12
MX,Mexico,,,,,,12/07/2020,-48,-18,-43,-43,-6,9
MX,Mexico,,,,,,13/07/2020,-40,-12,-35,-46,-36,15
MX,Mexico,,,,,,14/07/2020,-37,-12,-35,-47,-38,15
MX,Mexico,,,,,,15/07/2020,-34,-5,-34,-45,-37,15
MX,Mexico,,,,,,16/07/2020,-34,-6,-34,-45,-37,15
MX,Mexico,,,,,,17/07/2020,-39,-8,-36,-45,-33,16
MX,Mexico,,,,,,18/07/2020,-41,-9,-38,-39,-11,11
MX,Mexico,,,,,,19/07/2020,-44,-15,-41,-41,-5,9
MX,Mexico,,,,,,20/07/2020,-37,-11,-36,-45,-36,15
MX,Mexico,,,,,,21/07/2020,-37,-13,-35,-46,-38,15
MX,Mexico,,,,,,22/07/2020,-38,-12,-36,-46,-37,16
MX,Mexico,,,,,,23/07/2020,-38,-12,-36,-46,-37,16
MX,Mexico,,,,,,24/07/2020,-41,-12,-37,-46,-33,17
MX,Mexico,,,,,,25/07/2020,-42,-11,-37,-40,-12,11
MX,Mexico,,,,,,26/07/2020,-47,-20,-43,-43,-8,10
MX,Mexico,,,,,,27/07/2020,-41,-15,-38,-47,-39,16
MX,Mexico,,,,,,28/07/2020,-38,-15,-37,-46,-38,16
MX,Mexico,,,,,,29/07/2020,-36,-12,-37,-46,-38,16
MX,Mexico,,,,,,30/07/2020,-32,-9,-35,-45,-38,15
MX,Mexico,,,,,,31/07/2020,-34,-7,-36,-43,-33,16
MX,Mexico,,,,,,01/08/2020,-35,-5,-35,-36,-11,10
MX,Mexico,,,,,,02/08/2020,-39,-12,-39,-38,-5,8
MX,Mexico,,,,,,03/08/2020,-32,-8,-34,-42,-35,14
MX,Mexico,,,,,,04/08/2020,-32,-10,-33,-43,-37,14
MX,Mexico,,,,,,05/08/2020,-31,-8,-32,-43,-36,15
MX,Mexico,,,,,,06/08/2020,-32,-10,-33,-44,-37,15
MX,Mexico,,,,,,07/08/2020,-34,-10,-34,-43,-33,15
MX,Mexico,,,,,,08/08/2020,-36,-10,-35,-38,-11,10
MX,Mexico,,,,,,09/08/2020,-39,-15,-39,-39,-6,8
MX,Mexico,,,,,,10/08/2020,-32,-12,-34,-42,-34,14
MX,Mexico,,,,,,11/08/2020,-32,-13,-33,-43,-37,14
MX,Mexico,,,,,,12/08/2020,-32,-12,-33,-44,-36,15
MX,Mexico,,,,,,13/08/2020,-31,-10,-32,-43,-36,14
MX,Mexico,,,,,,14/08/2020,-31,-7,-33,-41,-32,14
MX,Mexico,,,,,,15/08/2020,-31,-3,-31,-33,-10,8
MX,Mexico,,,,,,16/08/2020,-33,-9,-34,-33,-4,6
MX,Mexico,,,,,,17/08/2020,-29,-8,-31,-40,-34,13
MX,Mexico,,,,,,18/08/2020,-28,-9,-29,-42,-34,13
MX,Mexico,,,,,,19/08/2020,-28,-9,-28,-41,-35,14
MX,Mexico,,,,,,20/08/2020,-27,-9,-27,-41,-35,14
MX,Mexico,,,,,,21/08/2020,-30,-7,-26,-40,-31,14
MX,Mexico,,,,,,22/08/2020,-30,-6,-25,-34,-9,8
MX,Mexico,,,,,,23/08/2020,-32,-10,-30,-34,-3,7
MX,Mexico,,,,,,24/08/2020,-29,-11,-27,-42,-33,14
MX,Mexico,,,,,,25/08/2020,-27,-11,-25,-42,-35,14
MX,Mexico,,,,,,26/08/2020,-26,-9,-24,-42,-34,14
MX,Mexico,,,,,,27/08/2020,-25,-9,-23,-42,-35,14
MX,Mexico,,,,,,28/08/2020,-24,-4,-22,-40,-30,14
MX,Mexico,,,,,,29/08/2020,-23,0,-17,-32,-9,8
MX,Mexico,,,,,,30/08/2020,-26,-4,-21,-32,-3,6
MX,Mexico,,,,,,31/08/2020,-20,-3,-16,-38,-32,12
MX,Mexico,,,,,,01/09/2020,-18,-2,-11,-38,-34,13
MX,Mexico,,,,,,02/09/2020,-18,-2,-12,-40,-34,13
MX,Mexico,,,,,,03/09/2020,-19,-3,-14,-40,-35,13
MX,Mexico,,,,,,04/09/2020,-22,-4,-17,-39,-31,14
MX,Mexico,,,,,,05/09/2020,-22,-1,-15,-34,-10,8
MX,Mexico,,,,,,06/09/2020,-24,-4,-21,-34,-5,7
MX,Mexico,,,,,,07/09/2020,-21,-5,-14,-38,-33,13
MX,Mexico,,,,,,08/09/2020,-19,-6,-9,-39,-35,13
MX,Mexico,,,,,,09/09/2020,-17,-4,-5,-40,-35,13
MX,Mexico,,,,,,10/09/2020,-16,-3,-6,-39,-35,13
MX,Mexico,,,,,,11/09/2020,-17,-2,-6,-38,-31,13
MX,Mexico,Aguascalientes,,,MX-AGU,,15/02/2020,7,6,6,-14,4,-2
MX,Mexico,Aguascalientes,,,MX-AGU,,16/02/2020,9,7,5,1,1,-1
MX,Mexico,Aguascalientes,,,MX-AGU,,17/02/2020,1,2,0,-5,12,-2
MX,Mexico,Aguascalientes,,,MX-AGU,,18/02/2020,0,-3,3,-4,10,-2
MX,Mexico,Aguascalientes,,,MX-AGU,,19/02/2020,-1,-2,-2,-2,9,-1
MX,Mexico,Aguascalientes,,,MX-AGU,,20/02/2020,-1,-2,2,0,9,-2
MX,Mexico,Aguascalientes,,,MX-AGU,,21/02/2020,-2,-1,1,-8,11,-2
MX,Mexico,Aguascalientes,,,MX-AGU,,22/02/2020,0,1,4,-16,4,-1
MX,Mexico,Aguascalientes,,,MX-AGU,,23/02/2020,0,1,3,-6,0,-1
MX,Mexico,Aguascalientes,,,MX-AGU,,24/02/2020,-4,-3,-2,-4,13,-2
MX,Mexico,Aguascalientes,,,MX-AGU,,25/02/2020,-4,-6,-1,-7,10,-2
MX,Mexico,Aguascalientes,,,MX-AGU,,26/02/2020,-7,-5,1,-4,10,-1
MX,Mexico,Aguascalientes,,,MX-AGU,,27/02/2020,0,0,9,0,10,-2
MX,Mexico,Aguascalientes,,,MX-AGU,,28/02/2020,1,9,20,-7,10,-2
MX,Mexico,Aguascalientes,,,MX-AGU,,29/02/2020,10,13,39,-12,6,-2
MX,Mexico,Aguascalientes,,,MX-AGU,,01/03/2020,9,10,18,-2,2,-2
MX,Mexico,Aguascalientes,,,MX-AGU,,02/03/2020,0,5,1,-7,13,-2
MX,Mexico,Aguascalientes,,,MX-AGU,,03/03/2020,-1,-1,-1,-11,10,-1
MX,Mexico,Aguascalientes,,,MX-AGU,,04/03/2020,-1,1,-4,-6,10,-1
MX,Mexico,Aguascalientes,,,MX-AGU,,05/03/2020,0,1,2,-5,10,-2
MX,Mexico,Aguascalientes,,,MX-AGU,,06/03/2020,-5,0,-1,-10,13,-2
MX,Mexico,Aguascalientes,,,MX-AGU,,07/03/2020,1,2,7,-18,6,-1
MX,Mexico,Aguascalientes,,,MX-AGU,,08/03/2020,7,2,9,-10,3,-1
MX,Mexico,Aguascalientes,,,MX-AGU,,09/03/2020,-12,-10,-11,-10,-13,6
MX,Mexico,Aguascalientes,,,MX-AGU,,10/03/2020,-2,-2,2,-2,9,-2
MX,Mexico,Aguascalientes,,,MX-AGU,,11/03/2020,-1,-1,-1,1,9,-1
MX,Mexico,Aguascalientes,,,MX-AGU,,12/03/2020,1,2,6,3,8,-2
MX,Mexico,Aguascalientes,,,MX-AGU,,13/03/2020,1,9,0,8,3,-1
MX,Mexico,Aguascalientes,,,MX-AGU,,14/03/2020,4,13,7,-4,2,-2
MX,Mexico,Aguascalientes,,,MX-AGU,,15/03/2020,-2,8,-3,-21,-1,-2
MX,Mexico,Aguascalientes,,,MX-AGU,,16/03/2020,-13,5,-12,10,-61,15
MX,Mexico,Aguascalientes,,,MX-AGU,,17/03/2020,-8,3,-6,1,-3,3
MX,Mexico,Aguascalientes,,,MX-AGU,,18/03/2020,-17,2,-16,-14,-10,7
MX,Mexico,Aguascalientes,,,MX-AGU,,19/03/2020,-24,1,-14,-21,-15,8
MX,Mexico,Aguascalientes,,,MX-AGU,,20/03/2020,-34,-1,-20,-35,-16,11
MX,Mexico,Aguascalientes,,,MX-AGU,,21/03/2020,-37,-5,-21,-42,-9,10
MX,Mexico,Aguascalientes,,,MX-AGU,,22/03/2020,-46,-16,-28,-50,-15,9
MX,Mexico,Aguascalientes,,,MX-AGU,,23/03/2020,-36,-16,-27,-42,-28,13
MX,Mexico,Aguascalientes,,,MX-AGU,,24/03/2020,-39,-18,-29,-43,-33,15
MX,Mexico,Aguascalientes,,,MX-AGU,,25/03/2020,-42,-18,-35,-48,-36,17
MX,Mexico,Aguascalientes,,,MX-AGU,,26/03/2020,-42,-16,-31,-49,-38,18
MX,Mexico,Aguascalientes,,,MX-AGU,,27/03/2020,-45,-12,-31,-55,-37,20
MX,Mexico,Aguascalientes,,,MX-AGU,,28/03/2020,-43,-10,-28,-57,-21,14
MX,Mexico,Aguascalientes,,,MX-AGU,,29/03/2020,-51,-19,-37,-62,-24,12
MX,Mexico,Aguascalientes,,,MX-AGU,,30/03/2020,-40,-17,-34,-55,-41,18
MX,Mexico,Aguascalientes,,,MX-AGU,,31/03/2020,-40,-18,-36,-53,-44,19
MX,Mexico,Aguascalientes,,,MX-AGU,,01/04/2020,-43,-16,-38,-53,-46,21
MX,Mexico,Aguascalientes,,,MX-AGU,,02/04/2020,-50,-12,-35,-55,-49,22
MX,Mexico,Aguascalientes,,,MX-AGU,,03/04/2020,-60,-6,-35,-61,-47,24
MX,Mexico,Aguascalientes,,,MX-AGU,,04/04/2020,-59,-6,-32,-61,-29,16
MX,Mexico,Aguascalientes,,,MX-AGU,,05/04/2020,-66,-18,-40,-68,-29,14
MX,Mexico,Aguascalientes,,,MX-AGU,,06/04/2020,-56,-12,-32,-60,-51,21
MX,Mexico,Aguascalientes,,,MX-AGU,,07/04/2020,-55,-12,-30,-59,-53,22
MX,Mexico,Aguascalientes,,,MX-AGU,,08/04/2020,-53,-4,-33,-54,-53,22
MX,Mexico,Aguascalientes,,,MX-AGU,,09/04/2020,-62,-6,-35,-60,-66,25
MX,Mexico,Aguascalientes,,,MX-AGU,,10/04/2020,-79,-27,-53,-77,-77,31
MX,Mexico,Aguascalientes,,,MX-AGU,,11/04/2020,-66,-17,-38,-74,-49,19
MX,Mexico,Aguascalientes,,,MX-AGU,,12/04/2020,-68,-23,-46,-70,-31,14
MX,Mexico,Aguascalientes,,,MX-AGU,,13/04/2020,-55,-11,-33,-60,-48,21
MX,Mexico,Aguascalientes,,,MX-AGU,,14/04/2020,-53,-10,-31,-61,-50,22
MX,Mexico,Aguascalientes,,,MX-AGU,,15/04/2020,-51,-2,-32,-57,-50,22
MX,Mexico,Aguascalientes,,,MX-AGU,,16/04/2020,-51,-6,-32,-60,-50,22
MX,Mexico,Aguascalientes,,,MX-AGU,,17/04/2020,-54,-7,-32,-66,-47,24
MX,Mexico,Aguascalientes,,,MX-AGU,,18/04/2020,-58,-17,-32,-67,-27,15
MX,Mexico,Aguascalientes,,,MX-AGU,,19/04/2020,-64,-26,-42,-70,-24,13
MX,Mexico,Aguascalientes,,,MX-AGU,,20/04/2020,-55,-22,-35,-63,-47,21
MX,Mexico,Aguascalientes,,,MX-AGU,,21/04/2020,-57,-26,-41,-63,-50,22
MX,Mexico,Aguascalientes,,,MX-AGU,,22/04/2020,-58,-25,-44,-65,-50,23
MX,Mexico,Aguascalientes,,,MX-AGU,,23/04/2020,-59,-24,-41,-65,-50,23
MX,Mexico,Aguascalientes,,,MX-AGU,,24/04/2020,-61,-22,-42,-70,-47,25
MX,Mexico,Aguascalientes,,,MX-AGU,,25/04/2020,-60,-21,-39,-69,-29,16
MX,Mexico,Aguascalientes,,,MX-AGU,,26/04/2020,-67,-30,-49,-74,-26,13
MX,Mexico,Aguascalientes,,,MX-AGU,,27/04/2020,-57,-26,-41,-65,-48,22
MX,Mexico,Aguascalientes,,,MX-AGU,,28/04/2020,-56,-24,-38,-64,-50,17
MX,Mexico,Aguascalientes,,,MX-AGU,,29/04/2020,-54,-18,-40,-61,-49,23
MX,Mexico,Aguascalientes,,,MX-AGU,,30/04/2020,-47,-5,-37,-57,-48,20
MX,Mexico,Aguascalientes,,,MX-AGU,,01/05/2020,-64,-17,-43,-71,-66,29
MX,Mexico,Aguascalientes,,,MX-AGU,,02/05/2020,-58,-16,-36,-70,-32,16
MX,Mexico,Aguascalientes,,,MX-AGU,,03/05/2020,-65,-28,-46,-71,-22,13
MX,Mexico,Aguascalientes,,,MX-AGU,,04/05/2020,-53,-20,-40,-64,-46,21
MX,Mexico,Aguascalientes,,,MX-AGU,,05/05/2020,-53,-21,-39,-62,-49,22
MX,Mexico,Aguascalientes,,,MX-AGU,,06/05/2020,-54,-19,-41,-61,-48,22
MX,Mexico,Aguascalientes,,,MX-AGU,,07/05/2020,-54,-17,-37,-60,-48,22
MX,Mexico,Aguascalientes,,,MX-AGU,,08/05/2020,-56,-16,-41,-68,-45,25
MX,Mexico,Aguascalientes,,,MX-AGU,,09/05/2020,-52,-5,-28,-66,-23,14
MX,Mexico,Aguascalientes,,,MX-AGU,,10/05/2020,-58,-15,-38,-72,-4,7
MX,Mexico,Aguascalientes,,,MX-AGU,,11/05/2020,-54,-21,-37,-63,-45,20
MX,Mexico,Aguascalientes,,,MX-AGU,,12/05/2020,-52,-21,-37,-61,-46,21
MX,Mexico,Aguascalientes,,,MX-AGU,,13/05/2020,-50,-18,-37,-62,-46,22
MX,Mexico,Aguascalientes,,,MX-AGU,,14/05/2020,-48,-12,-32,-59,-46,21
MX,Mexico,Aguascalientes,,,MX-AGU,,15/05/2020,-48,-5,-29,-65,-42,21
MX,Mexico,Aguascalientes,,,MX-AGU,,16/05/2020,-49,-6,-27,-66,-21,13
MX,Mexico,Aguascalientes,,,MX-AGU,,17/05/2020,-58,-17,-37,-67,-13,11
MX,Mexico,Aguascalientes,,,MX-AGU,,18/05/2020,-47,-14,-30,-62,-41,19
MX,Mexico,Aguascalientes,,,MX-AGU,,19/05/2020,-48,-17,-29,-59,-43,20
MX,Mexico,Aguascalientes,,,MX-AGU,,20/05/2020,-48,-14,-32,-58,-43,21
MX,Mexico,Aguascalientes,,,MX-AGU,,21/05/2020,-48,-13,-30,-59,-43,21
MX,Mexico,Aguascalientes,,,MX-AGU,,22/05/2020,-50,-11,-29,-64,-38,21
MX,Mexico,Aguascalientes,,,MX-AGU,,23/05/2020,-49,-8,-24,-66,-16,12
MX,Mexico,Aguascalientes,,,MX-AGU,,24/05/2020,-56,-17,-29,-65,-9,10
MX,Mexico,Aguascalientes,,,MX-AGU,,25/05/2020,-47,-16,-29,-59,-38,18
MX,Mexico,Aguascalientes,,,MX-AGU,,26/05/2020,-47,-18,-32,-55,-38,18
MX,Mexico,Aguascalientes,,,MX-AGU,,27/05/2020,-47,-16,-33,-58,-38,19
MX,Mexico,Aguascalientes,,,MX-AGU,,28/05/2020,-46,-13,-28,-55,-38,19
MX,Mexico,Aguascalientes,,,MX-AGU,,29/05/2020,-45,-3,-28,-58,-34,19
MX,Mexico,Aguascalientes,,,MX-AGU,,30/05/2020,-43,-2,-23,-62,-10,10
MX,Mexico,Aguascalientes,,,MX-AGU,,31/05/2020,-50,-9,-24,-60,1,8
MX,Mexico,Aguascalientes,,,MX-AGU,,01/06/2020,-41,-8,-27,-53,-30,15
MX,Mexico,Aguascalientes,,,MX-AGU,,02/06/2020,-42,-14,-28,-53,-33,16
MX,Mexico,Aguascalientes,,,MX-AGU,,03/06/2020,-43,-12,-29,-50,-33,16
MX,Mexico,Aguascalientes,,,MX-AGU,,04/06/2020,-43,-11,-25,-50,-33,16
MX,Mexico,Aguascalientes,,,MX-AGU,,05/06/2020,-44,-6,-25,-57,-30,17
MX,Mexico,Aguascalientes,,,MX-AGU,,06/06/2020,-44,-4,-21,-59,-8,9
MX,Mexico,Aguascalientes,,,MX-AGU,,07/06/2020,-49,-12,-26,-60,-1,8
MX,Mexico,Aguascalientes,,,MX-AGU,,08/06/2020,-43,-13,-27,-52,-29,15
MX,Mexico,Aguascalientes,,,MX-AGU,,09/06/2020,-44,-18,-34,-54,-32,15
MX,Mexico,Aguascalientes,,,MX-AGU,,10/06/2020,-41,-12,-28,-50,-31,15
MX,Mexico,Aguascalientes,,,MX-AGU,,11/06/2020,-40,-11,-25,-51,-31,16
MX,Mexico,Aguascalientes,,,MX-AGU,,12/06/2020,-40,-3,-25,-56,-28,16
MX,Mexico,Aguascalientes,,,MX-AGU,,13/06/2020,-38,-1,-16,-59,-5,8
MX,Mexico,Aguascalientes,,,MX-AGU,,14/06/2020,-43,-8,-21,-58,6,7
MX,Mexico,Aguascalientes,,,MX-AGU,,15/06/2020,-35,-3,-22,-49,-28,13
MX,Mexico,Aguascalientes,,,MX-AGU,,16/06/2020,-34,-6,-21,-51,-30,14
MX,Mexico,Aguascalientes,,,MX-AGU,,17/06/2020,-35,-6,-24,-49,-30,15
MX,Mexico,Aguascalientes,,,MX-AGU,,18/06/2020,-36,-7,-24,-47,-31,15
